,title,time,date,Hour
3810,considering mushrooms,3:08 AM,13-Feb-20,3
3811,i don%E2%80%99t see any way out,11:52 PM,12-Feb-20,23
3812,treatment resistant depression medicine help,9:46 PM,12-Feb-20,21
3813,im feeling guilty during recovery like im not trying everything i can but i really am,7:15 PM,12-Feb-20,19
3814,gf and depression taking its toll,5:55 PM,12-Feb-20,17
3815,will i ever be able to work again,1:39 PM,12-Feb-20,13
3816,i%E2%80%99m 20 years old and ready to go,10:14 PM,11-Feb-20,22
3817,i am stuck and indesicive,10:00 PM,11-Feb-20,22
3818,struggling,7:35 PM,11-Feb-20,19
3819,social media and depression,4:13 PM,11-Feb-20,16
3820,alone,2:33 PM,11-Feb-20,14
3821,monday,7:33 AM,11-Feb-20,7
3822,their talking my support worker away,10:08 PM,10-Feb-20,22
3823,living with it and moving forward with it,8:46 PM,10-Feb-20,20
3824,worst week of my life please help,4:52 PM,10-Feb-20,16
3825,congratulations,4:30 PM,10-Feb-20,16
3826,do you ever feel your not good enough to have such good people in life,12:59 PM,10-Feb-20,12
3827,close to ending it,10:38 AM,10-Feb-20,10
3828,empty,9:34 AM,10-Feb-20,9
3829,depression post psychosis,5:45 AM,10-Feb-20,5
3830,low energy levels,5:05 AM,10-Feb-20,5
3831,switching from sertraline to fluoxetine advice,4:41 AM,10-Feb-20,4
3832,struggling right now,2:09 AM,10-Feb-20,2
3833,i%E2%80%99m done for,1:34 AM,10-Feb-20,1
3834,feel down today,10:14 PM,9-Feb-20,22
3835,work and lies,8:18 PM,9-Feb-20,20
3836,so low today,6:37 PM,9-Feb-20,18
3837,crisis,2:27 PM,9-Feb-20,14
3838,nothing ever works,10:59 AM,9-Feb-20,10
3839,angry about what happened,8:22 AM,9-Feb-20,8
3840,i dont know what to do wondering if anyone can offer some advice,3:57 PM,8-Feb-20,15
3841,hello,3:57 PM,8-Feb-20,15
3842,thick fog,1:22 AM,8-Feb-20,1
3843,why do i get marks all over part of my body following self harm,5:53 PM,7-Feb-20,17
3844,gypsy,5:39 PM,7-Feb-20,17
3845,therapy doesnt seem like an option,4:43 PM,7-Feb-20,16
3846,annoyed,2:20 PM,7-Feb-20,14
3847,something i heard today which is going to stick with me,5:28 AM,7-Feb-20,5
3848,i dont know what to do anymore,10:12 PM,6-Feb-20,22
3849,no one has any time for me,8:00 PM,6-Feb-20,20
3850,cannot get out of bed,7:54 PM,6-Feb-20,19
3851,feeling low,11:15 AM,6-Feb-20,11
3852,drug resistant,11:10 PM,5-Feb-20,23
3853,problems with patience and bad temper depression etc,11:08 PM,5-Feb-20,23
3854,im losing friends because of my anger,10:41 PM,5-Feb-20,22
3855,severe loneliness before valentines day and in general,8:08 PM,5-Feb-20,20
3856,im a terrible mum,7:08 PM,5-Feb-20,19
3857,keeping busy,4:09 PM,5-Feb-20,16
3858,havent slept in 5 days,1:36 PM,5-Feb-20,13
3859,always in my head voices screaming to kill myself,9:13 AM,5-Feb-20,9
3860,did something happen to me,9:02 AM,5-Feb-20,9
3861,feeling depressed due to turning 30 and having always been single and a virgin,8:55 AM,5-Feb-20,8
3862,im done with life,11:22 PM,4-Feb-20,23
3863,journey day 1,9:06 PM,4-Feb-20,21
3864,am i crazy or a martyr,7:57 PM,4-Feb-20,19
3865,starting a conversation,9:16 AM,4-Feb-20,9
3866,having an overwhelming feeling of wanting to give up,6:42 AM,4-Feb-20,6
3867,when depression works,4:16 AM,4-Feb-20,4
3868,i need my own place,11:31 PM,3-Feb-20,23
3869,do think eating healthier change your mood,6:12 PM,3-Feb-20,18
3870,what if thoughts and trying to remember,4:16 PM,3-Feb-20,16
3871,going a bit downhill,3:18 PM,3-Feb-20,15
3872,before or after best friends wedding,2:00 PM,3-Feb-20,14
3873,depression and suicidal thoughts from no love life due to extreme shyness,6:48 AM,3-Feb-20,6
3874,i am so lonely,6:42 AM,3-Feb-20,6
3875,when will this end,5:12 AM,3-Feb-20,5
3876,how do i cancel my account,1:10 AM,3-Feb-20,1
3877,why keep living,11:22 PM,2-Feb-20,23
3878,even worse today,9:47 PM,2-Feb-20,21
3879,feeling really down,9:20 PM,2-Feb-20,21
3880,feeling super depressed,6:40 PM,2-Feb-20,18
3881,lost and lonely in life,5:33 PM,2-Feb-20,17
3882,my best friend is struggling with chronic depression,3:47 PM,2-Feb-20,15
3883,only alive because of my child,1:10 PM,2-Feb-20,13
3884,new to the forum far from new to depression,11:34 AM,2-Feb-20,11
3885,the center of my universe,3:55 AM,2-Feb-20,3
3886,no motivation for anything,2:40 AM,2-Feb-20,2
3887,i dont know if i should post this,1:03 AM,2-Feb-20,1
3888,i want to do something noble and good before i die,9:57 PM,1-Feb-20,21
3889,cant leave past,8:54 PM,1-Feb-20,20
3890,returning to work,4:47 PM,1-Feb-20,16
3891,anyone else just lay in bed all day due to depression,8:40 AM,1-Feb-20,8
3892,extreme lonliness is killing me,2:51 AM,1-Feb-20,2
3893,whats normal happy feelings,11:26 PM,31-Jan-20,23
3894,can a gp insist you see a mental health professional,10:40 PM,31-Jan-20,22
3895,distraction,9:22 PM,31-Jan-20,21
3896,depression mental dump,8:20 PM,31-Jan-20,20
3897,trying to understand my ex,8:35 AM,31-Jan-20,8
3898,anyone else experience weird empty feeling,6:51 AM,31-Jan-20,6
3899,impossible to smile,6:28 AM,31-Jan-20,6
3900,zero libido after rispderal mdma adderral,4:15 AM,31-Jan-20,4
3901,she sents me to work in the evenings,10:57 PM,30-Jan-20,22
3902,hi i am just new here,10:21 AM,30-Jan-20,10
3903,depression issues,6:33 AM,30-Jan-20,6
3904,talk of selfless love,5:10 AM,30-Jan-20,5
3905,talking to myself,5:07 AM,30-Jan-20,5
3906,major depressive episode and early pregnancy,2:37 AM,30-Jan-20,2
3907,crying spell,1:14 AM,30-Jan-20,1
3908,i overcame depression but it creeps back from time to time,12:49 AM,30-Jan-20,0
3909,just waiting to die,9:26 PM,29-Jan-20,21
3910,feel like my life is falling apart,8:56 PM,29-Jan-20,20
3911,changing symptoms,7:22 PM,29-Jan-20,19
3912,feeling that something bad is going to happen makes me feel bad,5:25 PM,29-Jan-20,17
3913,i dont know what to do,5:09 PM,29-Jan-20,17
3914,my love left me,4:46 PM,29-Jan-20,16
3915,drinking too much,4:01 PM,29-Jan-20,16
3916,constant battlefield,3:22 AM,29-Jan-20,3
3917,in ruins,7:49 PM,28-Jan-20,19
3918,im ready to die,6:42 PM,28-Jan-20,18
3919,im still here,6:36 PM,28-Jan-20,18
3920,im completely and utterly empty,6:31 PM,28-Jan-20,18
3921,im empty inside and nothing at all brings me happiness,6:28 PM,28-Jan-20,18
3922,im fine but i constantly feel like i cant cope being alive anymore,6:22 PM,28-Jan-20,18
3923,i might have depression,5:18 PM,28-Jan-20,17
3924,struggling hard,3:48 PM,28-Jan-20,15
3925,ups and downs,1:19 PM,28-Jan-20,13
3926,when does it get better,10:25 AM,28-Jan-20,10
3927,i dont understand,8:08 AM,28-Jan-20,8
3928,been through a lot,1:45 AM,28-Jan-20,1
3929,sick of myself,10:41 PM,27-Jan-20,22
3930,no purpous in life,7:46 PM,27-Jan-20,19
3931,depression and crying,1:29 PM,27-Jan-20,13
3932,rearrange the letter in depression,10:38 AM,27-Jan-20,10
3933,complaining and blue colored glasses,2:55 AM,27-Jan-20,2
3934,holding on by your fingernails,2:36 AM,27-Jan-20,2
3935,long term effects from antidepressants,12:41 AM,27-Jan-20,0
3936,does anyone else respond to compliments by crying,11:11 PM,26-Jan-20,23
3937,bloody people,5:51 PM,26-Jan-20,17
3938,i dont know what to do anymore,8:45 AM,26-Jan-20,8
3939,new song i wrote,5:11 AM,26-Jan-20,5
3940,dont know where else to post this but i feel like i am in emotional crisis,9:45 PM,25-Jan-20,21
3941,does anti deprassants affect thought patterns,7:51 PM,25-Jan-20,19
3942,sertraline has it made you worse,2:35 PM,25-Jan-20,14
3943,why do i do this to myself why am i so sad,2:26 AM,25-Jan-20,2
3944,someone ask me if im okay,2:25 AM,25-Jan-20,2
3945,im slowly giving up,9:34 PM,24-Jan-20,21
3946,its very dark,4:35 PM,24-Jan-20,16
3947,tms and ketamine,1:57 PM,24-Jan-20,13
3948,im sooo done,1:02 PM,24-Jan-20,13
3949,just thinking,11:41 AM,24-Jan-20,11
3950,very depressed lately,10:43 PM,23-Jan-20,22
3951,i need to vent,9:42 AM,23-Jan-20,9
3952,why do i feel so sad,1:26 AM,23-Jan-20,1
3953,thoughts of death,12:50 AM,23-Jan-20,0
3954,other help on the nhs,10:05 PM,22-Jan-20,22
3955,depression and loneliness youtube self help video feel good again,9:23 PM,22-Jan-20,21
3956,monday work blues,7:30 PM,22-Jan-20,19
3957,it%E2%80%99s hard becoming someone you don%E2%80%99t know anymore,7:22 PM,22-Jan-20,19
3958,hello i need urgent help i cant really take it anymore and i am not sure if its depression,3:23 PM,22-Jan-20,15
3959,depressed angry outbursts and marriage failing,3:17 PM,22-Jan-20,15
3960,difference between severe depression and normal depression,5:43 AM,22-Jan-20,5
3961,thought the contraceptive pill was making me depressed,8:52 PM,21-Jan-20,20
3962,hi arghhhhhh desperate for help suicidal 24 7,8:47 PM,21-Jan-20,20
3963,partner depressed im heavily pregnant,6:02 PM,21-Jan-20,18
3964,need support please,4:57 PM,21-Jan-20,16
3965,not feeling so good,1:31 PM,21-Jan-20,13
3966,thought i was getting better,9:32 AM,21-Jan-20,9
3967,which ssris or snris are the most energetic and uplifting,9:17 AM,21-Jan-20,9
3968,might have found a way to beat my depression,9:14 AM,21-Jan-20,9
3969,feeling of losing control of yourself,7:54 AM,21-Jan-20,7
3970,hello,7:16 AM,21-Jan-20,7
3971,not feeling yourself detached,2:15 AM,21-Jan-20,2
3972,parent with depression,8:58 PM,20-Jan-20,20
3973,end of my tether,2:27 PM,20-Jan-20,14
3974,foods that make your endorphins rush,11:15 AM,20-Jan-20,11
3975,apathy,3:10 AM,20-Jan-20,3
3976,hi,8:59 PM,19-Jan-20,20
3977,do you feell phsically ill when you are depressed,6:11 PM,19-Jan-20,18
3978,choosing between helping someone you love and helping yourself,3:23 PM,19-Jan-20,15
3979,that empty feeling,10:56 AM,19-Jan-20,10
3980,i wish there was an easily way to die,9:22 AM,19-Jan-20,9
3981,but why is suicide so wrong,12:43 AM,19-Jan-20,0
3982,today wasnt good,11:22 PM,18-Jan-20,23
3983,venting,10:49 PM,18-Jan-20,22
3984,made some big mistakes looking for support going forward,9:49 PM,18-Jan-20,21
3985,thoughts appreciated,8:57 PM,18-Jan-20,20
3986,anything off limits in therapy,6:45 PM,18-Jan-20,18
3987,wanting motivation but feeling heavier drained,4:39 PM,18-Jan-20,16
3988,depression shame two sides of the same coin,12:44 AM,18-Jan-20,0
3989,i am struggling to find anything positive in 2019,12:42 AM,18-Jan-20,0
3990,suffering,7:51 PM,17-Jan-20,19
3991,how do i tell my best friend i never want to see him again,3:30 PM,17-Jan-20,15
3992,please can someone destroy me,2:54 PM,17-Jan-20,14
3993,looking stressed tired or sad,10:05 AM,17-Jan-20,10
3994,i%E2%80%99m planning on getting ketamine therapy for my diagnosed major depression but have some questions for people who%E2%80%99ve done this before,11:00 PM,16-Jan-20,23
3995,frustrated,12:11 PM,16-Jan-20,12
3996,why cant i just die why not,6:51 AM,16-Jan-20,6
3997,imagining about conversations with someone else,6:43 AM,16-Jan-20,6
3998,is it true that i cannot talk to my friends,6:29 AM,16-Jan-20,6
3999,i dont know whats happening to me,6:11 AM,16-Jan-20,6
4000,i just need someone to talk to i dont want to live anymore,5:45 AM,16-Jan-20,5
4001,prison,8:11 PM,15-Jan-20,20
4002,anybody else with this terrible symptoms,6:16 PM,15-Jan-20,18
4003,maddie in animal hospital please support x,5:52 PM,15-Jan-20,17
4004,not able to get urgent emotional help,5:11 PM,15-Jan-20,17
4005,how to not obsess about a hard to solve problem,4:10 PM,15-Jan-20,16
4006,do you ever feel like youre grieving for a life you never had,5:38 AM,15-Jan-20,5
4007,feeling empty,12:10 AM,15-Jan-20,0
4008,i don%E2%80%99t know what i%E2%80%99m feeling,11:30 PM,14-Jan-20,23
4009,anyone else tired of hearing can you try a different medication can you go for a walk etc ugh,10:54 PM,14-Jan-20,22
4010,who needs loves,9:23 PM,14-Jan-20,21
4011,new years eve depression,4:36 PM,14-Jan-20,16
4012,please keep me company over next few days need extra support,3:26 PM,14-Jan-20,15
4013,i really do wish,6:31 PM,13-Jan-20,18
4014,fear of driving,6:17 AM,13-Jan-20,6
4015,isolation and apathy,1:05 PM,12-Jan-20,13
4016,depression stealing my life,12:42 PM,12-Jan-20,12
4017,alcohol and depression,11:46 PM,11-Jan-20,23
4018,depression really hurting me,10:23 PM,11-Jan-20,22
4019,i feel so isolated im struggling and feel like things arent getting better,9:21 PM,11-Jan-20,21
4020,tomorrow maybe,7:51 PM,11-Jan-20,19
4021,i feel like nothing i do matters,7:57 PM,10-Jan-20,19
4022,having trouble caring,5:32 PM,10-Jan-20,17
4023,i try my hardest but it never works,9:41 AM,10-Jan-20,9
4024,very quick fall into depression,3:14 AM,10-Jan-20,3
4025,new here mini story and cry,9:24 PM,9-Jan-20,21
4026,ex partner and my journey through mental health and depression,7:41 PM,9-Jan-20,19
4027,depression and weight gaining meds,1:16 PM,9-Jan-20,13
4028,hugs please,11:37 AM,9-Jan-20,11
4029,guy ive been seeing for a year tells me we were never dating cant cope,12:15 AM,8-Jan-20,0
4030,feelings of shame fear guilt isolation after being victim of violent crime,8:26 PM,7-Jan-20,20
4031,depressed wife will it work out,6:10 PM,7-Jan-20,18
4032,maddie had the most awful day,4:07 PM,7-Jan-20,16
4033,how do i get back up,4:06 PM,7-Jan-20,16
4034,where to go,9:13 AM,7-Jan-20,9
4035,jobs,10:59 PM,6-Jan-20,22
4036,light box,6:31 PM,6-Jan-20,18
4037,back here again,3:00 AM,6-Jan-20,3
4038,depression and my toxic relationship,4:37 PM,5-Jan-20,16
4039,stuck,11:53 AM,5-Jan-20,11
4040,i can%E2%80%99t live,9:17 AM,5-Jan-20,9
4041,switching from mirtazapin to aglomelatin,8:53 AM,5-Jan-20,8
4042,nothing life is empty dark and just crap now,6:39 AM,5-Jan-20,6
4043,i need advice,5:52 AM,5-Jan-20,5
4044,mental breakdown,10:52 PM,4-Jan-20,22
4045,i didn%E2%80%99t know how to speak on my mental health so i made a mixtape in my room,1:15 PM,4-Jan-20,13
4046,is it possible to accept having a low iq below average intelligence and memory,10:30 AM,4-Jan-20,10
4047,im not sure what to do anymore,9:51 AM,4-Jan-20,9
4048,crisis teams,1:31 PM,3-Jan-20,13
4049,spiraling down after wife distancing herself,1:17 PM,3-Jan-20,13
4050,stuck no way out %F0%9F%98%A2,12:10 PM,3-Jan-20,12
4051,crap christmas,11:10 AM,3-Jan-20,11
4052,help,9:09 AM,3-Jan-20,9
4053,ritalin for depression,1:51 AM,3-Jan-20,1
4054,medication waiting game got me like,9:59 PM,2-Jan-20,21
4055,anyone tried this medication,5:34 PM,2-Jan-20,17
4056,2020,4:39 PM,2-Jan-20,16
4057,not the best day,11:18 AM,2-Jan-20,11
4058,self defeating behavioral patterns in reaction to long term depression,10:29 PM,1-Jan-20,22
4059,friends,9:02 PM,1-Jan-20,21
4060,how will i cope living with my mum again,4:16 PM,1-Jan-20,16
4061,when its time to stop suffering,12:43 PM,1-Jan-20,12
4062,how to stop feeling shame and embarrassment,12:14 PM,1-Jan-20,12
4063,depression,11:00 AM,1-Jan-20,11
4064,breakup because of depression,8:40 AM,1-Jan-20,8
4065,peaceful death,7:13 AM,1-Jan-20,7
4066,never been so low is it time to go,10:26 PM,31-Dec-19,22
4067,got noone even on here,9:57 PM,31-Dec-19,21
4068,new year%E2%80%99s eve depression worse than ever,7:10 PM,31-Dec-19,19
4069,never forget this curse,6:54 PM,31-Dec-19,18
4070,my monster depression through my eyes,5:05 PM,31-Dec-19,17
4071,complete loss of interest in life please help me,1:10 PM,31-Dec-19,13
4072,medication for depression,6:30 AM,31-Dec-19,6
4073,do my friends actually like me,2:40 AM,31-Dec-19,2
4074,feeling worthless like a loser,2:51 PM,30-Dec-19,14
4075,stressed constantly angry pessimistic,2:49 PM,30-Dec-19,14
4076,breakdown,12:14 PM,30-Dec-19,12
4077,today was a bad day,1:06 AM,30-Dec-19,1
4078,no more,8:43 PM,29-Dec-19,20
4079,depression seems to be returning,2:18 PM,29-Dec-19,14
4080,should i be concerned,9:50 AM,29-Dec-19,9
4081,friends with the marrionette just some writing i did,1:03 AM,29-Dec-19,1
4082,what do you do for work with depression,10:25 PM,28-Dec-19,22
4083,are you taken seriously,9:31 PM,28-Dec-19,21
4084,depression and anxiety affecting physical appearance,4:56 PM,28-Dec-19,16
4085,just hanging in there,12:31 PM,28-Dec-19,12
4086,nobody can actually help me,3:57 PM,27-Dec-19,15
4087,depression and anxiety,1:56 PM,27-Dec-19,13
4088,fat and blue,1:36 AM,27-Dec-19,1
4089,deep daily depression,9:45 PM,26-Dec-19,21
4090,depression and anxiety test,5:49 PM,26-Dec-19,17
4091,sudden unbearable depression without clear cause,4:24 PM,26-Dec-19,16
4092,thanks for chatting to me over the past few weeks,4:18 PM,26-Dec-19,16
4093,reality crashing down,9:47 PM,25-Dec-19,21
4094,i dont know where to turn,9:29 PM,25-Dec-19,21
4095,need advice,8:12 PM,25-Dec-19,20
4096,hard being alone at christmas,2:43 PM,25-Dec-19,14
4097,confused anxious depressed stressed over life and relationship,12:52 PM,25-Dec-19,12
4098,sad christmas,12:05 PM,25-Dec-19,12
4099,saw psychiatrist today,9:17 PM,24-Dec-19,21
4100,poor old mum,8:48 PM,24-Dec-19,20
4101,cant go on,8:34 PM,24-Dec-19,20
4102,on being unhappy,6:47 PM,24-Dec-19,18
4103,im corrosive a death fly,6:31 PM,24-Dec-19,18
4104,the nurse laughed,11:26 PM,23-Dec-19,23
4105,why,9:37 PM,23-Dec-19,21
4106,will i ever be happy again,1:54 PM,23-Dec-19,13
4107,si and sh,10:55 AM,23-Dec-19,10
4108,lost,9:49 PM,22-Dec-19,21
4109,big slip up,5:14 PM,22-Dec-19,17
4110,fed up down ill and stressed,9:47 AM,22-Dec-19,9
4111,i dont want to live in this world anymore,8:40 PM,21-Dec-19,20
4112,hate myself,5:15 PM,21-Dec-19,17
4113,morning all,2:52 PM,21-Dec-19,14
4114,i%E2%80%99m not sure what to do,11:17 PM,20-Dec-19,23
4115,just feel like crap,9:01 PM,20-Dec-19,21
4116,antidepressants,7:28 PM,20-Dec-19,19
4117,doctors need help too,2:57 PM,20-Dec-19,14
4118,us both,10:52 AM,20-Dec-19,10
4119,hello,5:06 AM,20-Dec-19,5
4120,feeling sexually repressed and like i want to commit suicide,2:36 AM,20-Dec-19,2
4121,i hate you depression joined the gym to try and slowly get out of the hole,2:08 AM,20-Dec-19,2
4122,heartbroken and depressed over rejection of a single mom,12:07 AM,20-Dec-19,0
4123,suffering alone,10:05 PM,19-Dec-19,22
4124,fall apart,5:51 AM,19-Dec-19,5
4125,there is something wrong with my eyes,12:07 AM,19-Dec-19,0
4126,making friends,10:33 PM,18-Dec-19,22
4127,feel replaced,9:56 PM,18-Dec-19,21
4128,i had a strange afternoon,6:56 PM,18-Dec-19,18
4129,i%E2%80%99m not sure where to start,4:37 PM,18-Dec-19,16
4130,need help,2:44 AM,18-Dec-19,2
4131,wanting to end my life,2:07 AM,18-Dec-19,2
4132,proprananol and sertraline,11:39 PM,17-Dec-19,23
4133,drinking and depression,11:26 PM,17-Dec-19,23
4134,rant or something,10:42 PM,17-Dec-19,22
4135,night time,10:39 PM,17-Dec-19,22
4136,opening up to people,10:37 PM,17-Dec-19,22
4137,holiday blues,10:34 PM,17-Dec-19,22
4138,feeling better,9:49 PM,17-Dec-19,21
4139,feeling out of hope,6:05 PM,17-Dec-19,18
4140,just need someone to talk to,3:09 PM,17-Dec-19,15
4141,help,2:13 AM,17-Dec-19,2
4142,some advice needed,11:11 PM,16-Dec-19,23
4143,pointlessness,10:05 PM,16-Dec-19,22
4144,depressed after one xmas song,9:12 PM,16-Dec-19,21
4145,when does it end,4:03 PM,16-Dec-19,16
4146,need help,3:19 PM,16-Dec-19,15
4147,is it bad to feel unhappy when you see happy people,1:05 PM,16-Dec-19,13
4148,what does lovely mean in this context,12:14 PM,16-Dec-19,12
4149,getting threatened with suicide attempt by ex girlfriend post trauma,3:55 PM,15-Dec-19,15
4150,numb,2:45 PM,15-Dec-19,14
4151,depression,2:01 PM,15-Dec-19,14
4152,i can feel another depressive episode coming on,8:57 AM,15-Dec-19,8
4153,everythings pointless,11:45 PM,14-Dec-19,23
4154,everything is going well yet i have never been so unhappy,11:26 PM,14-Dec-19,23
4155,everyone having parties but me,10:20 PM,14-Dec-19,22
4156,depression diagnosis has ruined my life forever i dont want to live anymore,7:41 PM,14-Dec-19,19
4157,modern society is the cause,5:30 PM,14-Dec-19,17
4158,dark thoughts,1:21 PM,14-Dec-19,13
4159,not happy,11:28 PM,13-Dec-19,23
4160,what is wrong with me,11:02 PM,13-Dec-19,23
4161,weed for depression,7:29 PM,13-Dec-19,19
4162,alone again for the holidays,7:22 PM,13-Dec-19,19
4163,if you want to talk you can message me,7:41 AM,13-Dec-19,7
4164,alone at christmas,11:09 PM,12-Dec-19,23
4165,first time post,7:38 PM,12-Dec-19,19
4166,dead fox not sure what to do,7:15 PM,12-Dec-19,19
4167,stuck,6:44 PM,12-Dec-19,18
4168,i%E2%80%99m tired,4:09 PM,12-Dec-19,16
4169,havent been on here for a while,3:11 PM,12-Dec-19,15
4170,tales of a terrible therapist not serious,2:42 PM,12-Dec-19,14
4171,quitting the things that help me venting,2:36 PM,12-Dec-19,14
4172,feeling lonely just venting,2:25 AM,12-Dec-19,2
4173,to the young and depressed,10:44 PM,11-Dec-19,22
4174,worst week in 9 years,10:20 PM,11-Dec-19,22
4175,its going to be a long one oops so sorry,10:06 PM,11-Dec-19,22
4176,any advice would be great,8:45 PM,11-Dec-19,20
4177,the mr micawber reason for living,12:23 AM,11-Dec-19,0
4178,self destructive behaviour,11:43 PM,10-Dec-19,23
4179,feeling helpless,6:34 PM,10-Dec-19,18
4180,my fiance has cancer %E2%98%B9%EF%B8%8F,6:27 PM,10-Dec-19,18
4181,severly sucidial and coming to terms with wanting to die,5:51 PM,10-Dec-19,17
4182,how can i provide support,10:47 AM,10-Dec-19,10
4183,solitary confinement,8:26 AM,10-Dec-19,8
4184,i%E2%80%99m nothing,8:19 AM,10-Dec-19,8
4185,its been a tough day,5:25 AM,10-Dec-19,5
4186,i feel like nothing please reply,10:32 PM,9-Dec-19,22
4187,struggles in school giving anxiety,9:03 PM,9-Dec-19,21
4188,your worst nightmare,8:13 PM,9-Dec-19,20
4189,winter depression,7:15 PM,9-Dec-19,19
4190,pregnant and scared,5:44 PM,9-Dec-19,17
4191,sick,2:03 PM,9-Dec-19,14
4192,i dont know what to do anymore,11:02 AM,9-Dec-19,11
4193,have nothing left,7:48 AM,9-Dec-19,7
4194,maddie has to have an operation,3:53 AM,9-Dec-19,3
4195,severe depression and anxiety what do you do for work,10:24 PM,8-Dec-19,22
4196,ive gone into a depression,8:30 PM,8-Dec-19,20
4197,feeling heartbroken,8:12 PM,8-Dec-19,20
4198,21years old and nothing to live for,7:05 PM,8-Dec-19,19
4199,benefits drinking music coffee hide,6:59 PM,8-Dec-19,18
4200,depression anxiety maybe more,4:21 PM,8-Dec-19,16
4201,dont know if theres a section for financial depression,10:01 AM,8-Dec-19,10
4202,im incredibly lonely,9:58 AM,8-Dec-19,9
4203,daren%E2%80%99t get out of bed,9:18 AM,8-Dec-19,9
4204,fed up,2:03 AM,8-Dec-19,2
4205,i dont want to live into old age,2:29 PM,7-Dec-19,14
4206,i am severely depressed do not know how much longer i can take it,12:23 PM,7-Dec-19,12
4207,feeling isolated,11:32 PM,6-Dec-19,23
4208,im done with this fourm and im gonna kill myself bc no will respond to me,10:41 PM,6-Dec-19,22
4209,end of the year holidays coming,5:34 PM,6-Dec-19,17
4210,wishing i could just be normal,10:27 AM,6-Dec-19,10
4211,walking around veiled how long will this last,4:05 AM,6-Dec-19,4
4212,i hate myself,3:08 AM,6-Dec-19,3
4213,trying to not be sad please rate my action plan,1:43 AM,6-Dec-19,1
4214,long distance relationship depression,1:14 AM,6-Dec-19,1
4215,it seems like depression is destroying my generation,12:31 AM,6-Dec-19,0
4216,depressive personality,9:24 PM,5-Dec-19,21
4217,anyone just have time,1:58 PM,5-Dec-19,13
4218,is this a depression,11:45 AM,5-Dec-19,11
4219,i feel angry all the time,9:05 AM,5-Dec-19,9
4220,irritation in your shoe all day,7:40 AM,5-Dec-19,7
4221,broken needing help advice clairty,6:25 AM,5-Dec-19,6
4222,i feel lost suicidal grief severely depressed,4:14 AM,5-Dec-19,4
4223,i need help,10:56 PM,4-Dec-19,22
4224,sad all the time its wrecking my marriage,9:39 PM,4-Dec-19,21
4225,bad holidays can you enjoy one night,9:14 PM,4-Dec-19,21
4226,being guilted about the people you leave behind,6:26 PM,4-Dec-19,18
4227,modest mouse float on hope in bad situations happy song,6:10 PM,4-Dec-19,18
4228,no future in sight,4:09 PM,4-Dec-19,16
4229,feeling so down i cant eat,1:42 PM,4-Dec-19,13
4230,venlafaxine,10:47 AM,4-Dec-19,10
4231,there should be a sub forum for existential problems,11:41 AM,3-Dec-19,11
4232,i feel depressed empty lonely and suicidal after i socialise,9:19 AM,3-Dec-19,9
4233,motivation,8:18 AM,3-Dec-19,8
4234,hey everyone feeling low,12:21 AM,3-Dec-19,0
4235,my dad and sister x,10:55 PM,2-Dec-19,22
4236,i kinda want to scream,4:58 PM,2-Dec-19,16
4237,the last 3 weeks have been hell,4:38 PM,2-Dec-19,16
4238,i%E2%80%99m struggling,1:21 PM,2-Dec-19,13
4239,uncontrollable emotions,10:31 AM,2-Dec-19,10
4240,citalopram anyone,2:27 PM,1-Dec-19,14
4241,motivation,12:22 PM,1-Dec-19,12
4242,i hang on for my son,12:11 AM,1-Dec-19,0
4243,am i depressed,1:09 PM,30-Nov-19,13
4244,i literally dont know how to help myself,8:10 PM,29-Nov-19,20
4245,how does getting married work for people with depression issues,10:04 AM,29-Nov-19,10
4246,been shaking all day,1:54 AM,29-Nov-19,1
4247,how do you guys cope,1:52 AM,29-Nov-19,1
4248,can you guess what im talking about,10:02 PM,28-Nov-19,22
4249,dr wants to up my fluoxetine,9:41 PM,28-Nov-19,21
4250,want to cry so badly but i just cant,2:31 PM,28-Nov-19,14
4251,sick line query,2:30 PM,28-Nov-19,14
4252,i dont want to be here anymore,6:41 AM,28-Nov-19,6
4253,the worst,9:40 PM,27-Nov-19,21
4254,antidepressant tablet changes,8:31 PM,27-Nov-19,20
4255,i cant even comprehend this anymore,2:43 PM,27-Nov-19,14
4256,celebrity obsessiveness is ruining my life and personal desires i have bpd and ocd,2:38 PM,27-Nov-19,14
4257,losing to much weight depression,8:56 AM,27-Nov-19,8
4258,idk,4:25 AM,27-Nov-19,4
4259,my mums got cancer,1:04 AM,27-Nov-19,1
4260,alcohol and depression,8:11 PM,26-Nov-19,20
4261,help with my ex girlfriends depression,1:19 PM,26-Nov-19,13
4262,how to bear the unbearable depression,10:59 AM,26-Nov-19,10
4263,i guess i expected too much,10:50 AM,26-Nov-19,10
4264,adhd with dystemia and major dep episodes,11:22 PM,25-Nov-19,23
4265,losing the drive to do anything,6:31 PM,25-Nov-19,18
4266,shaking badly with depression,4:28 PM,25-Nov-19,16
4267,depression worse due to better diet,9:42 AM,25-Nov-19,9
4268,like it when it gets dark,11:42 PM,24-Nov-19,23
4269,i just wanted someone who chose to be with me and support me,9:47 PM,24-Nov-19,21
4270,i really need cheering up %F0%9F%98%AD,9:21 PM,24-Nov-19,21
4271,im worried so cant sleep,7:17 PM,24-Nov-19,19
4272,today,6:01 PM,24-Nov-19,18
4273,struggling with depression,4:01 PM,24-Nov-19,16
